state,county,auction_source,auction_source_status,appraisal_district_source,appraisal_district_source_status,gis_source,gis_source_status,recorded_document_source,public_record_request_source,comptroller_directory_url,appraisal_district_name,appraisal_district_url,tax_assessor_collector_name,tax_assessor_collector_url,appraisal_district_verification_status,acquisition_method
TX,Anderson,UNKNOWN,UNKNOWN,County Appraisal District named by the Texas Comptroller county directory,"DIRECTORY_LISTED (LEGAL_REVIEW_REQUIRED - county site not fetched, terms not reviewed)","UNKNOWN (Texas Comptroller Property Tax Data Reports and TNRIS/StratMap Land Parcels found as statewide candidates this phase, neither reviewed in depth)",UNKNOWN,UNKNOWN,UNKNOWN,https://comptroller.texas.gov/taxes/property-tax/county-directory/anderson.php,Anderson County Appraisal District,www.andersoncad.net,Tommy Cross,www.co.anderson.tx.us,DIRECTORY_LISTED,OFFICIAL_PUBLIC_SEARCH
TX,Andrews,UNKNOWN,UNKNOWN,County Appraisal District named by the Texas Comptroller county directory,"DIRECTORY_LISTED (LEGAL_REVIEW_REQUIRED - county site not fetched, terms not reviewed)","UNKNOWN (Texas Comptroller Property Tax Data Reports and TNRIS/StratMap Land Parcels found as statewide candidates this phase, neither reviewed in depth)",UNKNOWN,UNKNOWN,UNKNOWN,https://comptroller.texas.gov/taxes/property-tax/county-directory/andrews.php,Andrews County Appraisal District,www.andrewscad.org,Robin Harper,www.andrewscountytax.com,DIRECTORY_LISTED,OFFICIAL_PUBLIC_SEARCH
TX,Angelina,RealAuction/RealForeclose (tx_realauction) - see data/tx_realauction_counties.csv,"APPROVED (production-practice, not formally rights-cleared - Phase 10B finding)",County Appraisal District named by the Texas Comptroller county directory,"DIRECTORY_LISTED (LEGAL_REVIEW_REQUIRED - county site not fetched, terms not reviewed)","UNKNOWN (Texas Comptroller Property Tax Data Reports and TNRIS/StratMap Land Parcels found as statewide candidates this phase, neither reviewed in depth)",UNKNOWN,UNKNOWN,UNKNOWN,https://comptroller.texas.gov/taxes/property-tax/county-directory/angelina.php,Angelina County Appraisal District,www.angelinacad.org,Terri Collier,www.angelinacounty.net,DIRECTORY_LISTED,OFFICIAL_PUBLIC_SEARCH
TX,Aransas,RealAuction/RealForeclose (tx_realauction) - see data/tx_realauction_counties.csv,"APPROVED (production-practice, not formally rights-cleared - Phase 10B finding)",County Appraisal District named by the Texas Comptroller county directory,"DIRECTORY_LISTED (LEGAL_REVIEW_REQUIRED - county site not fetched, terms not reviewed)","UNKNOWN (Texas Comptroller Property Tax Data Reports and TNRIS/StratMap Land Parcels found as statewide candidates this phase, neither reviewed in depth)",UNKNOWN,UNKNOWN,UNKNOWN,https://comptroller.texas.gov/taxes/property-tax/county-directory/aransas.php,Aransas County Appraisal District,www.aransascad.org,Anna Marshall,www.aransascountytx.gov,DIRECTORY_LISTED,OFFICIAL_PUBLIC_SEARCH
TX,Archer,UNKNOWN,UNKNOWN,County Appraisal District named by the Texas Comptroller county directory,"DIRECTORY_LISTED (LEGAL_REVIEW_REQUIRED - county site not fetched, terms not reviewed)","UNKNOWN (Texas Comptroller Property Tax Data Reports and TNRIS/StratMap Land Parcels found as statewide candidates this phase, neither reviewed in depth)",UNKNOWN,UNKNOWN,UNKNOWN,https://comptroller.texas.gov/taxes/property-tax/county-directory/archer.php,Archer County Appraisal District,www.archercad.org,Dawn Vieth,www.archercountytax.org,DIRECTORY_LISTED,OFFICIAL_PUBLIC_SEARCH
TX,Armstrong,UNKNOWN,UNKNOWN,County Appraisal District named by the Texas Comptroller county directory,"DIRECTORY_LISTED (LEGAL_REVIEW_REQUIRED - county site not fetched, terms not reviewed)","UNKNOWN (Texas Comptroller Property Tax Data Reports and TNRIS/StratMap Land Parcels found as statewide candidates this phase, neither reviewed in depth)",UNKNOWN,UNKNOWN,UNKNOWN,https://comptroller.texas.gov/taxes/property-tax/county-directory/armstrong.php,Armstrong County Appraisal District,http://armstrongcad.org,Jamie Craig,www.co.armstrong.tx.us,DIRECTORY_LISTED,OFFICIAL_PUBLIC_SEARCH
TX,Atascosa,RealAuction/RealForeclose (tx_realauction) - see data/tx_realauction_counties.csv,"APPROVED (production-practice, not formally rights-cleared - Phase 10B finding)",County Appraisal District named by the Texas Comptroller county directory,"DIRECTORY_LISTED (LEGAL_REVIEW_REQUIRED - county site not fetched, terms not reviewed)","UNKNOWN (Texas Comptroller Property Tax Data Reports and TNRIS/StratMap Land Parcels found as statewide candidates this phase, neither reviewed in depth)",UNKNOWN,UNKNOWN,UNKNOWN,https://comptroller.texas.gov/taxes/property-tax/county-directory/atascosa.php,Atascosa County Appraisal District,www.atascosacad.com,Loretta Holley,www.atascosacounty.texas.gov,DIRECTORY_LISTED,OFFICIAL_PUBLIC_SEARCH
TX,Austin,UNKNOWN,UNKNOWN,County Appraisal District named by the Texas Comptroller county directory,"DIRECTORY_LISTED (LEGAL_REVIEW_REQUIRED - county site not fetched, terms not reviewed)","UNKNOWN (Texas Comptroller Property Tax Data Reports and TNRIS/StratMap Land Parcels found as statewide candidates this phase, neither reviewed in depth)",UNKNOWN,UNKNOWN,UNKNOWN,https://comptroller.texas.gov/taxes/property-tax/county-directory/austin.php,Austin County Appraisal District,www.austincad.org,Kim Rinn,www.austincounty.com,DIRECTORY_LISTED,OFFICIAL_PUBLIC_SEARCH
TX,Bailey,UNKNOWN,UNKNOWN,County Appraisal District named by the Texas Comptroller county directory,"DIRECTORY_LISTED (LEGAL_REVIEW_REQUIRED - county site not fetched, terms not reviewed)","UNKNOWN (Texas Comptroller Property Tax Data Reports and TNRIS/StratMap Land Parcels found as statewide candidates this phase, neither reviewed in depth)",UNKNOWN,UNKNOWN,UNKNOWN,https://comptroller.texas.gov/taxes/property-tax/county-directory/bailey.php,Bailey County Appraisal District,www.bailey-cad.org,Maria Gonzalez,www.co.bailey.tx.us,DIRECTORY_LISTED,OFFICIAL_PUBLIC_SEARCH
TX,Bandera,"MVBA (tx_mvba) - BLOCKED, explicit non-commercial-use ToS - see claude/mvba-source-reconnaissance-blocked.md",BLOCKED,County Appraisal District named by the Texas Comptroller county directory,"DIRECTORY_LISTED (LEGAL_REVIEW_REQUIRED - county site not fetched, terms not reviewed)","UNKNOWN (Texas Comptroller Property Tax Data Reports and TNRIS/StratMap Land Parcels found as statewide candidates this phase, neither reviewed in depth)",UNKNOWN,UNKNOWN,UNKNOWN,https://comptroller.texas.gov/taxes/property-tax/county-directory/bandera.php,Bandera County Appraisal District,www.bancad.org,Andrea Jankoski,www.banderacounty.org,DIRECTORY_LISTED,OFFICIAL_PUBLIC_SEARCH
