County,BaseUrl,Notes
Okeechobee,https://pioneer.okeechobeelandmark.com/TaxSmartWebLive/,Confirmed live 2026-08-25 - real "Search for Lands Available" tab returns 0 current properties (confirmed 0 is correct - no grid renders at all on a true zero-result search on this platform - not a harvest failure).
Citrus,https://search.citrusclerk.org/TaxSmartWeb,"Confirmed live 2026-08-25 with 5 real properties (JPL Investments Corp, IL IL IRA Investments LLC, Rajendra Inc, Savvy FL LLC x2). Page also displays a notice that sale-related inquiries should be emailed to TaxDeeds@CitrusClerk.org, but the Lands Available search itself is fully queryable live through this portal - not email-only. (Notes field quoted 2026-08-25: it was previously unquoted despite containing commas, which silently split it across extra CSV columns on parse.)"
Bay,https://records2.baycoclerk.com/TaxDeed,"Added 2026-08-25. Confirmed Pioneer by footer ""(c) 2026 Pioneer Technology Group All Rights Reserved. Website Version 1.0.0.7"" plus the full 10-tab strip including Lands Available and Surplus Funds. No login. Linked from baycoclerk.com's official Tax Deed Auctions page. NOTE: path is /TaxDeed - /TaxSmartWeb 404s here."
Clay,https://landmark.clayclerk.com/TaxDeed,"Added 2026-08-25. Confirmed Pioneer by footer ""(c) 2025 Pioneer Technology Group All Rights Reserved."" and clayclerk.com links this exact URL as ""Search Tax Deeds & Lands Available"". NOTE: path is /TaxDeed - /TaxSmartWeb 403s here. CAVEAT: research only surfaced the Lands Available tab rather than the full tab strip - there may be a disclaimer gate or JS-rendered tab strip in front of the search UI. If this county reports a suspicious zero check it by hand first."
Duval,https://taxdeed.duvalclerk.com,"Added 2026-08-25. Confirmed Pioneer by footer ""(c) 2026 Pioneer Technology Group All Rights Reserved. Website Version 1.1.2.0"" plus the full 10-tab strip. No login. Current post-May-2021 system per duvalclerk.com. NOTE: served at the HOST ROOT - both /TaxSmartWeb and /TaxDeed 404 here."
Hernando,https://or.hernandoclerk.com/TaxSmart/,"Added 2026-08-25. Confirmed Pioneer by footer ""(c) 2026 Pioneer Technology Group All Rights Reserved. Website Version 1.0.0.7"" plus the full 10-tab strip. No login; disclaimer renders inline rather than as a blocking interstitial. NOTE: path is /TaxSmart/ NOT /TaxSmartWeb - that variant 404s and is an easy one to get wrong."
Martin,https://or.martinclerk.com/taxsmartweb,"Added 2026-08-25. Confirmed Pioneer by footer ""(c) 2026 Pioneer Technology Group All Rights Reserved. Website Version 1.1.5.0"" plus the full tab strip; martinclerk.com/308/Tax-Deed-Files 302-redirects straight here. NOTE: the host root serves a DIFFERENT app (Landmark Web official records) so the path matters. Lands Available list was legitimately EMPTY at time of adding - a zero from this county is expected and is not evidence of a broken URL."
St. Johns,https://apps.stjohnsclerk.com/TaxSmart,"Added 2026-08-25. Confirmed Pioneer by footer ""(c) 2026 Pioneer Technology Group All Rights Reserved. Website Version 1.0.0.8"" plus the full 10-tab strip AND buttonSubmitLandsAvailable present in the DOM. No login and no accept-gate - the disclaimer is static text on the same page. NOTE: path is /TaxSmart; the host root serves the main Clerk site instead."
Walton,https://taxsmart.clerkofcourts.co.walton.fl.us/,"Added 2026-08-25. Confirmed Pioneer by footer ""(c) 2026 Pioneer Technology Group All Rights Reserved."" plus the identical 10-tab strip and buttonSubmitLandsAvailable. No login and no accept-gate. Served at the bare host root over HTTPS; linked from the Clerk's own list-of-lands page."
Palm Beach,https://taxdeed.mypalmbeachclerk.com/,"Added 2026-08-25. Confirmed Pioneer by footer ""(c) 2026 Pioneer Technology Group All Rights Reserved. Website Version 1.1.7.0""; mypalmbeachclerk.com's Tax Deeds Public Search 302-redirects to this host root. No login. NOTE: exposes one FEWER tab than the others (no Surplus Funds) - harmless here because this harvester matches the Lands Available tab by text and maps columns by aria-describedby suffix rather than by fixed index but worth knowing."
